Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
65,60,2024-03-13,29-326,MIA,,DEN,L (-12),1,30:46,5,10,.500,1,6,.167,0,0,,0,6,6,3,1,0,1,2,11,9.1,-4
66,61,2024-03-15,29-328,MIA,@,DET,W (+13),1,32:56,6,14,.429,4,12,.333,0,0,,0,2,2,5,3,1,2,1,16,14.0,+6
67,62,2024-03-17,29-330,MIA,@,DET,W (+3),1,35:25,10,15,.667,7,12,.583,3,3,1.000,0,4,4,5,0,0,3,2,30,24.4,+12
68,63,2024-03-18,29-331,MIA,@,PHI,L (-7),1,24:12,1,5,.200,0,1,.000,1,2,.500,1,3,4,0,0,0,1,4,3,-1.5,-14
69,,2024-03-20,29-333,MIA,@,CLE,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,,2024-03-22,29-335,MIA,,NOP,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,,2024-03-24,29-337,MIA,,CLE,W (+37),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,,2024-03-26,29-339,MIA,,GSW,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,,2024-03-29,29-342,MIA,,POR,W (+60),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
74,64,2024-03-31,29-344,MIA,@,WAS,W (+12),1,28:05,2,7,.286,2,7,.286,0,0,,1,2,3,1,0,1,1,4,6,2.0,-6
75,65,2024-04-02,29-346,MIA,,NYK,W (+10),1,28:59,2,7,.286,2,7,.286,0,0,,0,2,2,1,1,0,2,4,6,0.6,-6
76,66,2024-04-04,29-348,MIA,,PHI,L (-4),1,19:34,1,4,.250,0,3,.000,0,0,,0,0,0,1,2,0,0,0,2,2.3,-14
77,67,2024-04-05,29-349,MIA,@,HOU,W (+15),1,20:58,3,6,.500,2,5,.400,2,2,1.000,0,3,3,2,0,0,0,3,10,8.1,+6
78,68,2024-04-07,29-351,MIA,@,IND,L (-2),1,12:00,0,4,.000,0,4,.000,0,0,,0,3,3,0,0,0,2,3,0,-5.1,-7
79,,2024-04-09,29-353,MIA,@,ATL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,2024-04-10,29-354,MIA,,DAL,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,,2024-04-12,29-356,MIA,,TOR,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,,2024-04-14,29-358,MIA,,TOR,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
