Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
64,48,2024-03-10,27-092,MIA,,WAS,L (-2),0,4:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-2
65,49,2024-03-13,27-095,MIA,,DEN,L (-12),0,7:32,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-3
66,50,2024-03-15,27-097,MIA,@,DET,W (+13),0,5:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-6
67,51,2024-03-17,27-099,MIA,@,DET,W (+3),1,25:28,1,6,.167,0,3,.000,1,2,.500,2,0,2,1,0,0,0,3,3,-0.3,+4
68,52,2024-03-18,27-100,MIA,@,PHI,L (-7),1,26:29,4,7,.571,3,6,.500,0,2,.000,0,5,5,2,0,0,1,0,11,8.8,-18
69,53,2024-03-20,27-102,MIA,@,CLE,W (+3),0,4:54,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.7,-5
70,54,2024-03-22,27-104,MIA,,NOP,L (-23),0,21:57,0,3,.000,0,2,.000,0,0,,1,2,3,3,0,0,0,1,0,0.9,-12
71,55,2024-03-24,27-106,MIA,,CLE,W (+37),0,24:41,7,10,.700,4,4,1.000,0,0,,2,3,5,2,1,0,0,1,18,18.1,+13
72,56,2024-03-26,27-108,MIA,,GSW,L (-21),0,29:58,6,7,.857,3,3,1.000,0,0,,2,4,6,2,2,0,0,1,15,18.1,-1
73,57,2024-03-29,27-111,MIA,,POR,W (+60),0,27:41,7,9,.778,5,6,.833,1,3,.333,0,6,6,1,1,0,1,1,20,17.8,+40
74,58,2024-03-31,27-113,MIA,@,WAS,W (+12),0,29:19,4,12,.333,2,6,.333,0,0,,1,3,4,0,0,1,1,4,10,2.9,0
75,59,2024-04-02,27-115,MIA,,NYK,W (+10),0,28:04,6,11,.545,2,4,.500,0,0,,4,4,8,1,1,0,0,2,14,13.6,-1
76,60,2024-04-04,27-117,MIA,,PHI,L (-4),0,28:36,5,7,.714,2,4,.500,0,0,,3,6,9,2,4,1,1,1,12,17.7,-1
77,61,2024-04-05,27-118,MIA,@,HOU,W (+15),0,26:57,2,5,.400,0,3,.000,0,0,,2,3,5,3,1,1,0,2,4,6.6,+7
78,62,2024-04-07,27-120,MIA,@,IND,L (-2),0,19:07,0,1,.000,0,1,.000,0,0,,1,3,4,1,0,1,0,1,0,1.9,-13
79,63,2024-04-09,27-122,MIA,@,ATL,W (+6),0,35:27,5,10,.500,3,7,.429,0,2,.000,1,6,7,2,0,0,1,3,13,8.9,+7
80,64,2024-04-10,27-123,MIA,,DAL,L (-19),0,24:22,1,3,.333,0,1,.000,0,0,,4,6,10,1,0,0,0,2,2,4.8,-17
81,65,2024-04-12,27-125,MIA,,TOR,W (+22),0,25:59,4,5,.800,1,2,.500,0,1,.000,1,0,1,1,0,1,1,2,9,7.0,+23
82,66,2024-04-14,27-127,MIA,,TOR,W (+15),0,24:20,2,5,.400,1,4,.250,0,0,,1,2,3,1,1,0,2,3,5,2.1,+12
