Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
60,41,2024-03-02,34-170,MIA,,UTA,W (+6),1,35:49,12,19,.632,3,3,1.000,10,11,.909,1,2,3,7,1,1,2,1,37,33.6,+14
61,42,2024-03-05,34-173,MIA,,DET,W (+8),1,36:40,7,13,.538,1,3,.333,11,12,.917,2,4,6,8,2,0,2,1,26,27.1,+1
62,43,2024-03-07,34-175,MIA,@,DAL,L (-6),1,37:42,6,12,.500,1,2,.500,1,2,.500,0,4,4,5,2,0,6,2,14,7.5,+1
63,44,2024-03-08,34-176,MIA,@,OKC,L (-7),1,36:59,8,16,.500,0,3,.000,4,6,.667,2,8,10,8,0,0,1,1,20,19.2,+3
64,45,2024-03-10,34-178,MIA,,WAS,L (-2),1,36:29,9,20,.450,0,4,.000,5,6,.833,1,2,3,4,1,1,2,2,23,15.2,0
65,46,2024-03-13,34-181,MIA,,DEN,L (-12),1,35:51,6,16,.375,1,2,.500,2,2,1.000,3,2,5,2,0,1,1,2,15,9.2,-12
66,47,2024-03-15,34-183,MIA,@,DET,W (+13),1,31:24,5,11,.455,0,1,.000,4,5,.800,1,3,4,3,2,0,1,2,14,11.8,+18
67,,2024-03-17,34-185,MIA,@,DET,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
68,,2024-03-18,34-186,MIA,@,PHI,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
69,48,2024-03-20,34-188,MIA,@,CLE,W (+3),1,37:00,11,19,.579,2,4,.500,6,7,.857,1,3,4,5,4,0,2,1,30,27.4,+10
70,49,2024-03-22,34-190,MIA,,NOP,L (-23),1,36:24,5,12,.417,0,3,.000,7,7,1.000,1,3,4,5,1,0,0,0,17,16.7,-8
71,50,2024-03-24,34-192,MIA,,CLE,W (+37),1,24:25,3,6,.500,1,2,.500,8,9,.889,0,3,3,6,1,0,2,3,15,14.5,+32
72,,2024-03-26,34-194,MIA,,GSW,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,51,2024-03-29,34-197,MIA,,POR,W (+60),1,24:50,2,4,.500,1,3,.333,3,3,1.000,0,4,4,8,1,0,0,1,8,13.4,+42
74,52,2024-03-31,34-199,MIA,@,WAS,W (+12),1,34:52,5,11,.455,0,0,,7,9,.778,2,5,7,4,0,0,0,1,17,15.8,-2
75,53,2024-04-02,34-201,MIA,,NYK,W (+10),1,38:41,5,12,.417,1,3,.333,6,6,1.000,1,4,5,6,0,0,4,3,17,11.5,+10
76,54,2024-04-04,34-203,MIA,,PHI,L (-4),1,39:47,7,17,.412,1,4,.250,5,5,1.000,2,2,4,5,0,0,1,0,20,15.4,+10
77,55,2024-04-05,34-204,MIA,@,HOU,W (+15),1,28:50,6,14,.429,2,6,.333,8,8,1.000,0,3,3,3,1,0,2,1,22,16.2,+1
78,56,2024-04-07,34-206,MIA,@,IND,L (-2),1,38:52,7,16,.438,1,3,.333,12,12,1.000,2,5,7,8,1,0,0,1,27,27.7,-6
79,57,2024-04-09,34-208,MIA,@,ATL,W (+6),1,44:01,7,14,.500,1,3,.333,10,13,.769,0,8,8,9,3,0,3,1,25,25.1,+2
80,58,2024-04-10,34-209,MIA,,DAL,L (-19),1,35:50,5,8,.625,2,3,.667,0,0,,1,3,4,3,2,0,5,0,12,9.1,-9
81,59,2024-04-12,34-211,MIA,,TOR,W (+22),1,29:17,5,7,.714,2,2,1.000,2,4,.500,1,2,3,7,0,0,0,0,14,16.5,+7
82,60,2024-04-14,34-213,MIA,,TOR,W (+15),1,24:24,6,9,.667,0,0,,3,4,.750,3,2,5,4,0,0,1,1,15,14.8,+6
